SN,Model,Country,Year,Area,Major Land use,Sim,Cal time,Val time,ActualCal,ActualVal,Flow (R2)Cal,Flow (R2)Val,Flow (NSE)Cal,Flow (NSE)Val,Flow (VE)Cal,Flow (VE)Val,Flow (Y)Cal,Flow (Y)Val,Flow (RB)Cal,Flow (RB)Val,Flow (RE)Cal,Flow (RE)Val,Flow (RMSE)Cal,Flow (RMSE)Val,Flow (RSR)Cal,Flow (RSR)Val,Flow (ME)Cal,Flow (ME)Val,Flow (MSE)Cal,Flow (MSE)Val,Flow (NSE1)Cal,Flow (NSE1)Val,Flow (NSErel)Cal,Flow (NSErel)Val,Flow (pearson r)Cal,Flow (pearson r)Val,Flow (KGE)Cal,Flow (KGE)Val,Flow (MAE)Cal,Flow (MAE)Val,Flow (pBIAS)Cal,Flow (pBIAS)Val,Flow (%Dv)Cal,Flow (%Dv)Val,Flow (correlation coeff.)Cal,Flow (correlation coeff.)Val,Flow (DE)Cal,Flow (DE)Val,Flow (deviation of runoff volume)Cal,Flow (deviation of runoff volume)Val,Flow (IOA)Cal,Flow (IOA)Val,Flow (CC)Cal,Flow (CC)Val,Flow (logNSE)Cal,Flow (logNSE)Val,Flow (NRMSE)Cal,Flow (NRMSE)Val,Flow (spearman rho)Cal,Flow (spearman rho)Val,Flow (deviation from peak Q)Cal,Flow (deviation from peak Q)Val,Flow (MRE)Cal,Flow (MRE)Val,Flow (d index)Cal,Flow (d index)Val,Flow (CVRMSE)Cal,Flow (CVRMSE)Val,Flow (bR2)Cal,Flow (bR2)Val,Flow (SDR)Cal,Flow (SDR)Val,Flow (MaxAE)Cal,Flow (MaxAE)Val,Sediment (R2)Cal,Sediment (R2)Val,Sediment (R2)C or L?,Sediment (NSE)Cal,Sediment (NSE)Val,Sediment (NSE)C or L?,Sediment (NSE1)Cal,Sediment (NSE1)Val,Sediment (NSE1)C or L?,Sediment (pBIAS)Cal,Sediment (pBIAS)Val,Sediment (pBIAS)C or L?,Sediment (RSR)Cal,Sediment (RSR)Val,Sediment (RSR)C or L?,Sediment (RMSE)Cal,Sediment (RMSE)Val,Sediment (RMSE)C or L?,Sediment (NSErel)Cal,Sediment (NSErel)Val,Sediment (NSErel)C or L?,Sediment (spearman rho)Cal,Sediment (spearman rho)Val,Sediment (spearman rho)C or L?,Sediment (KGE)Cal,Sediment (KGE)Val,Sediment (KGE)C or L?,Sediment (bR2)Cal,Sediment (bR2)Val,Sediment (bR2)C or L?,Dissolved (R2)Cal,Dissolved (R2)Val,Dissolved (R2)C or L?,Dissolved (NSE)Cal,Dissolved (NSE)Val,Dissolved (NSE)C or L?,Dissolved (pBIAS)Cal,Dissolved (pBIAS)Val,Dissolved (pBIAS)C or L?,Dissolved (RSR)Cal,Dissolved (RSR)Val,Dissolved (RSR)C or L?,Dissolved (MAE)Cal,Dissolved (MAE)Val,Dissolved (MAE)C or L?,Dissolved (RMSE)Cal,Dissolved (RMSE)Val,Dissolved (RMSE)C or L?,Dissolved (KGE)Cal,Dissolved (KGE)Val,Dissolved (KGE)C or L?,Particulate (R2)Cal,Particulate (R2)Val,Particulate (R2)C or L?,Particulate (NSE)Cal,Particulate (NSE)Val,Particulate (NSE)C or L?,Particulate (RMSE)Cal,Particulate (RMSE)Val,Particulate (RMSE)C or L?,Particulate (pBIAS)Cal,Particulate (pBIAS)Val,Particulate (pBIAS)C or L?,Particulate (RSR)Cal,Particulate (RSR)Val,Particulate (RSR)C or L?,Particulate (MSE)Cal,Particulate (MSE)Val,Particulate (MSE)C or L?,Particulate (correlation)Cal,Particulate (correlation)Val,Particulate (correlation)C or L?,Particulate (KGE)Cal,Particulate (KGE)Val,Particulate (KGE)C or L?,Particulate (spearman rho)Cal,Particulate (spearman rho)Val,Particulate (spearman rho)C or L?,Non flow,Flow,Total,check
116,SWAT,Brazil,2010-2015,188,NA,Daily,Less than 5,Less than 5,3,3,0.68,0.79,0.67,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0.57,NA,NA,NA,NA,NA,NA,-6,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.52,Load,0.37,-2.1,Load,NA,NA,NA,-2,-110,Load,NA,NA,NA,NA,NA,NA,0.74,-0.08,Load,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8,20,20
117,SWAT,China,2016-2022,35609,NA,Monthly,Less than 5,Less than 5,4,3,0.92,0.9,0.9,0.88,NA,NA,NA,NA,-0.45,0.17,NA,NA,4.41,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,8
118,SWAT,China,2016-2022,35609,NA,Monthly,More than 15,5 to 15,20,11,0.88,0.89,0.87,0.85,NA,NA,NA,NA,-0.36,0.23,NA,NA,3.67,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,8
119,SWAT,China,2016-2022,35609,NA,Monthly,Less than 5,Less than 5,4,3,0.85,0.83,0.79,0.77,NA,NA,NA,NA,-0.92,-1.19,NA,NA,7.02,7.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,8
120,SWAT,United States,2016-2022,18500,Agriculture,Daily,5 to 15,Less than 5,5,2,0.665,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,0.735,NA,NA,-6.4,-5.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,6
121,SWAT,United States,2016-2022,700,Agriculture,Daily,5 to 15,Less than 5,7,2,0.6975,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765,0.7375,NA,NA,-9.45,-4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,6
122,SWAT,Iran,2016-2022,4270,Grasslands,Monthly,More than 15,Less than 5,27,3,0.667,0.73,0.6133,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4
123,SWAT,Iran,2016-2022,4270,Grasslands,Monthly,More than 15,Less than 5,27,3,0.7,0.74,0.68,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4
124,SWAT,Iran,2016-2022,4270,Grasslands,Monthly,More than 15,Less than 5,27,3,0.673,0.6967,0.63,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4
125,HEC-HMS,Pakistan,2010-2015,139.23,NA,Sub-Daily,NA,NA,0,0,NA,NA,0.897,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0754,0.1217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0381,-0.0247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,6
126,SWAT,Ethiopia ,2016-2022,478.6,Agriculture,Monthly,5 to 15,5 to 15,10,8,0.88,0.8825,0.8733,0.8075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.4275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,-14.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,8
127,CREST,China,2016-2022,81158,NA,Sub-Daily,NA,NA,0,0,NA,NA,0.92,0.79,NA,NA,NA,NA,NA,NA,NA,NA,534.33,920.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.85,-15.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,8
128,CREST,China,2016-2022,81158,NA,Sub-Daily,NA,NA,0,0,NA,NA,0.83,0.82,NA,NA,NA,NA,NA,NA,NA,NA,795.07,828.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.01,-9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,8
129,CREST,China,2016-2022,81158,NA,Sub-Daily,NA,NA,0,0,NA,NA,0.56,0.7,NA,NA,NA,NA,NA,NA,NA,NA,1259.5,1041.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.47,-12.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,8
130,fluviokarst + SWAT,United States,2016-2022,96,NA,Sub-Daily,5 to 15,Less than 5,5,4,NA,NA,0.3,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4
131,GR5J,West Africa,2016-2022,150000,NA,Daily,5 to 15,5 to 15,7,13,NA,NA,0.89,0.91,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,6
132,GR5J,West Africa,2016-2022,150000,NA,Daily,More than 15,More than 15,16,16,NA,NA,0.89,0.92,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,6
133,SWAT,Italy,2016-2022,506,NA,Monthly,Less than 5,Less than 5,2,2,0.76,0.65,0.65,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.12,-1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,0.53,Load,0.93,0.51,Load,NA,NA,NA,-5.49,-19.58,Load,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,15,15
134,AnnAGNPS,Italy,2016-2022,506,NA,Monthly,Less than 5,Less than 5,2,2,0.68,0.52,0.58,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.75,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.37,Load,0.68,0.35,Load,NA,NA,NA,-29.33,15.49,Load,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,15,15
135,SWAT,China,2016-2022,1371,Others,Monthly,More than 15,More than 15,18,19,0.89,0.89,0.89,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.66,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,6
136,HEC-HMS,India,2010-2015,15600,Agriculture,Daily,More than 15,5 to 15,20,10,0.72,0.77,0.48,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA,1.28,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,10,10
137,HEC-HMS,India,2010-2015,15600,Agriculture,Monthly,More than 15,5 to 15,20,10,0.87,0.88,0.75,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.07,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,10,10
138,WaSiM_ETH,Germany,2010-2015,100,Agriculture,Sub-Daily,Less than 5,Less than 5,2,1,0.85,0.83,0.84,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Concentration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,7
139,SWAT,United States,2010-2015,21033,Agriculture,Daily,5 to 15,5 to 15,7,5,0.68,0.67,0.63,0.6,NA,NA,NA,NA,NA,NA,NA,NA,54,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,8
